Ticker,Company Name
PGCO34.SA,Procter Gamble Co BDR
SBUB34.SA,Starbucks Corp BDR
VERZ34.SA,Verizon Communications BDR
VISA34.SA,Visa Inc BDR
WALM34.SA,Wal Mart Stores Inc BDR
WFCO34.SA,Wells Fargo Co BDR
WIZS3.SA,FPC Par Corretora De Seguros
BOEI34.SA,Boeing Co BDR
CHVX34.SA,Chevron Corp BDR
COPH34.SA,ConocoPhillips DRC
CTGP34.SA,Citigroup Inc BDR
FBOK34.SA,Facebook Inc BDR
IBMB34.SA,International Business Machines BDR
LILY34.SA,Eli Lilly and Co BDR
MCDC34.SA,McDonalds Corp BDR
MFII11.SA,Fundo Investimento Imobil Merito
MSBR34.SA,Morgan Stanley Bank AG
NFLX34.SA,Netflix Inc DRC
PEPB34.SA,PepsiCo Inc BDR
SLBG34.SA,Schlumberger AG
UPSS34.SA,United Parcel Service Inc
USBC34.SA,U.S. Bancorp DRC
GUAR3.SA,Guararapes Confeccoes ON
ACNB34.SA,Accenture PLC BDR
BONY34.SA,Bank of New York Mellon Corp BDR
DHER34.SA,Danaher Corp BDR
IGBR3.SA,Gradiente Electronica SA
KMBB34.SA,Kimberly Clark Corp BDR
METB34.SA,Metlife Inc BDR
TELB4.SA,Telecomunicacoes Brasileira SA Pref
TGTB34.SA,Target Corp BDR
WHRL3.SA,Whirlpool SA
AVON34.SA,Avon Products Inc BDR
BMYB34.SA,Bristol Myers Squibb Company BDR
COLG34.SA,Colgate Palmolive Co BDR
COTY34.SA,Coty Inc BDR
EBAY34.SA,eBay Inc BDR
FCXO34.SA,Freeport Mcmoran Copper Gold Inc
FDXB34.SA,FedEx Corp BDR
GDBR34.SA,General Dynamics Corp BDR
HSHY34.SA,The Hershey Company BDR
MDLZ34.SA,Mondelez International Inc BDR
MOSC34.SA,The Mosaic Company BDR
QCOM34.SA,Qualcomm Inc BDR
TEXA34.SA,Texas Instruments Inc BDR
TIFF34.SA,Tiffany Co BDR
UTEC34.SA,United Technologies Corp BDR
WUNI34.SA,The Western Union Company BDR
XRXB34.SA,Xerox Corp BDR
SHUL4.SA,Schulz SA
ATOM3.SA,Atom Participacoes
KHCB34.SA,Kraft Heinz DRC
TIET11.SA,AES TIETE E UNT N2
SAPR4.SA,Companhia de Saneamento
CRIV4.SA,Financeira Alfa
RPMG3.SA,Refinaria de Petroleos
BRSR3.SA,BANRISUL ON N1
DOMC11.SA,FII Domo
ENGI11.SA,Energisa
SNSY5.SA,Sansuy
DMMO3.SA,Ogx Petroleo e Gas
ABCB10.SA,BancoC Brasil
ANIM3T.SA,GAEC Educacao
AZEV4.SA,Azevedo & Travassos Pref
BAHI3.SA,Bahema
BALM4.SA,Baumer Pref
BAUH4.SA,Excelsior Alimentos Pref
BDLL4.SA,Bardella Pref
BEES3.SA,Banestes
BEES4.SA,Banestes Pref
BGIP4.SA,Banese Pref
BMEB3.SA,Mercantil do Brasil
BMEB4.SA,Mercantil do Brasil Pref
BMIN3.SA,Mercantil de Investimentos
BMIN4.SA,Mercantil de Investimentos Pref
BMKS3.SA,Bicicletas Monark
BNBR3.SA,BNB
BOBR4.SA,Bombril
BRIV3.SA,Banco Alfa
BRIV4.SA,Banco Alfa Pref
BSLI4.SA,BRB Pref
BTTL3.SA,Battistella Administracao
CBEE3.SA,Ampla
CEEB3.SA,Coelba
CEEB5.SA,Coelba Pref
CELP3.SA,CELPA
CELP5.SA,CELPA Pref
CEPE5.SA,Celpe Pref
CGAS3.SA,Comgas
CPRE3T.SA,CPFL Renovaveis
CRIV3.SA,Financeira Alfa ORD
CRPG5.SA,Cristal Pigmentos do Brasil Pref A
CRPG6.SA,Cristal Pigmentos do Brasil Pref B
CSRN3.SA,Cosern
CTKA4.SA,Karsten Pref
CTNM3.SA,COTEMINAS
CTSA3.SA,Santanense
CTSA4.SA,Santanense Pref
CVCB3T.SA,CVC Viagens
DOHL4.SA,Dohler Pref
DTCY3.SA,Dtcom
EALT4.SA,Electro Aco Altona Pref
EKTR4.SA,Elektro Pref
ELEK3.SA,Elekeiroz
EMAE4.SA,EMAE Pref
ENGI3.SA,Energisa ORD
ENMT3.SA,Energisa MT
ESTR4.SA,Brinquedos Estrela
FESA3.SA,Ferbasa
FNAM11.SA,Fundo de Investimento da Amazonia
FSRF11.SA,Fdo Inv Setorial FL E Ref Fiset FL Ref
GPCP3.SA,GPC Participacoes
HAGA4.SA,Haga Pref
HBTS5.SA,Habitasul Pref
HETA4.SA,Hercules Pref
HOOT4.SA,Hoteis Othon
IDVL3.SA,BI&P
JBDU3.SA,Industrias JBDuarte
JBDU4.SA,Industrias JBDuarte Pref
JOPA3.SA,Josapar Joaquim Oliveira
JOPA4.SA,Josapar Joaquim Oliveira Pref
KLBN3.SA,KLABIN S/A ON N2
MEND5.SA,Mendes Junior Engenharia
MNDL3.SA,Mundial
MNPR3.SA,Minupar Participacoes
MTSA4.SA,METISA Pref
MWET4.SA,Wetzel Pref
DMMO3T.SA,Ogx Petroleo e Gas
PEAB4.SA,Alianca da Bahia Pref
PNVL3.SA,Dimed
PNVL4.SA,Dimed Pref
RANI3.SA,Celulose Irani
RANI4.SA,Celulose Irani Pref
RCSL3.SA,Recrusul
RCSL4.SA,Recrusul Pref
REDE3.SA,Rede Energia
RPAD5.SA,Alfa Holdings Pref A
RPAD6.SA,Alfa Holdings Pref B
SEER3T.SA,Ser Educacional
WLMM3.SA,WLM Industria e Comercio
WLMM4.SA,WLM Industria e Comercio
SLED3.SA,Saraiva
SMLS3T.SA,Smiles Fidelidade
SOND5.SA,Sondotecnica Pref A
SOND6.SA,Sondotecnica Pref B
SPRI3.SA,Springer
TCNO4.SA,Tecnosolo Pref
TELB3.SA,Telebras
TOYB4.SA,Tec Toy Pref
TRPL3.SA,CTEEP
UNIP5.SA,Unipar Carbocloro Pref
USIM6.SA,USIMINAS PNB
VULC3.SA,Vulcabras Azaleia
VVAR3.SA,Via Varejo
WHRL4.SA,Whirlpool Pref
ALMI11.SA,FII Torre Almirante
ANCR11B.SA,FII Ancar IC
ATSA11B.SA,FII Atrium Shopping Santo Andre
BBFI11B.SA,Progressivo
BCFF11.SA,BB Renda Corporativa
