Ticker,Company Name
BONY34,Bank of New York Mellon Corp BDR
DHER34,Danaher Corp BDR
IGBR3,Gradiente Electronica SA
KMBB34,Kimberly Clark Corp BDR
METB34,Metlife Inc BDR
TELB4,Telecomunicacoes Brasileira SA Pref
TGTB34,Target Corp BDR
WHRL3,Whirlpool SA
AVON34,Avon Products Inc BDR
BMYB34,Bristol Myers Squibb Company BDR
COLG34,Colgate Palmolive Co BDR
COTY34,Coty Inc BDR
EBAY34,eBay Inc BDR
FCXO34,Freeport Mcmoran Copper Gold Inc
FDXB34,FedEx Corp BDR
GDBR34,General Dynamics Corp BDR
HSHY34,The Hershey Company BDR
MDLZ34,Mondelez International Inc BDR
MOSC34,The Mosaic Company BDR
QCOM34,Qualcomm Inc BDR
TEXA34,Texas Instruments Inc BDR
TIFF34,Tiffany Co BDR
UTEC34,United Technologies Corp BDR
WUNI34,The Western Union Company BDR
XRXB34,Xerox Corp BDR
SHUL4,Schulz SA
ATOM3,Atom Participacoes
KHCB34,Kraft Heinz DRC
TIET11,AES TIETE E UNT N2
SAPR4,Companhia de Saneamento
CRIV4,Financeira Alfa
RPMG3,Refinaria de Petroleos
BRSR3,BANRISUL ON N1
DOMC11,FII Domo
ENGI11,Energisa
SNSY5,Sansuy
DMMO3,Ogx Petroleo e Gas
ABCB10,BancoC Brasil
ANIM3T,GAEC Educacao
AZEV4,Azevedo & Travassos Pref
BAHI3,Bahema
BALM4,Baumer Pref
BAUH4,Excelsior Alimentos Pref
BDLL4,Bardella Pref
BEES3,Banestes
BEES4,Banestes Pref
BGIP4,Banese Pref
BMEB3,Mercantil do Brasil
BMEB4,Mercantil do Brasil Pref
BMIN3,Mercantil de Investimentos
BMIN4,Mercantil de Investimentos Pref
BMKS3,Bicicletas Monark
BNBR3,BNB
BOBR4,Bombril
BRIV3,Banco Alfa
BRIV4,Banco Alfa Pref
BSLI4,BRB Pref
BTTL3,Battistella Administracao
CBEE3,Ampla
CEEB3,Coelba
CEEB5,Coelba Pref
CELP3,CELPA
CELP5,CELPA Pref
CEPE5,Celpe Pref
CGAS3,Comgas
CPRE3T,CPFL Renovaveis
